timestamp;heure_num;jour_semaine;est_weekend;est_vacances;est_heure_cours;saison;region;nb_lits;puissance_w;tension_v;courant_a;facteur_puissance;energie_jour_kwh;temperature_c;humidite_pct;vent_kmh;niveau_anomalie;type_anomalie
01/09/2024 01:15;1;Dimanche;0;0;0;Automne;Sud;2;76.6;231.3;0.331;0.94;0.051;30.0;47;2.3;Normal;normal
01/09/2024 02:00;2;Dimanche;0;0;0;Automne;Centre;2;54.1;234.5;0.231;0.97;0.067;21.1;71;17.2;Normal;normal
01/09/2024 04:00;4;Dimanche;0;0;0;Automne;Centre;2;1080.0;234.7;4.602;0.89;1.983;18.4;70;3.7;Eleve;surconsommation
01/09/2024 05:00;5;Dimanche;0;0;0;Automne;Centre;3;134.9;238.6;0.565;0.85;0.399;14.0;53;2.8;Normal;normal
01/09/2024 08:45;8;Dimanche;0;0;1;Automne;Sud;3;99.0;232.2;0.426;0.91;0.388;32.4;81;10.8;Normal;normal
01/09/2024 09:00;9;Dimanche;0;0;1;Automne;Sud;2;0.0;0.0;0.0;0.0;0.0;30.4;55;8.7;Modere;coupure
01/09/2024 09:30;9;Dimanche;0;0;1;Automne;Sud;3;118.1;227.9;0.518;0.89;0.588;32.5;65;4.6;Normal;normal
01/09/2024 09:45;9;Dimanche;0;0;1;Automne;Nord;4;108.4;223.2;0.486;0.88;0.506;25.6;47;0.6;Normal;normal
01/09/2024 11:15;11;Dimanche;0;0;1;Automne;Centre;3;968.7;226.5;4.277;0.85;5.708;23.6;65;0.8;Leger;surconsommation
01/09/2024 13:45;13;Dimanche;0;0;1;Automne;Sud;3;784.7;228.3;3.437;0.92;7.272;34.3;54;24.9;Leger;surconsommation
01/09/2024 19:15;19;Dimanche;0;0;0;Automne;Centre;4;689.1;223.3;3.086;0.92;8.136;24.8;31;16.6;Normal;normal
01/09/2024 19:45;19;Dimanche;0;0;0;Automne;Nord;3;561.9;236.8;2.373;0.94;4.553;25.0;62;6.9;Normal;normal
01/09/2024 20:00;20;Dimanche;0;0;0;Automne;Sud;3;313.1;223.9;1.398;0.91;3.741;31.7;82;4.8;Normal;normal
01/09/2024 21:15;21;Dimanche;0;0;0;Automne;Nord;4;285.5;240.5;1.187;0.85;3.377;23.8;40;4.0;Normal;normal
01/09/2024 22:00;22;Dimanche;0;0;0;Automne;Sud;1;523.6;230.2;2.275;0.91;6.186;30.7;57;17.3;Leger;surconsommation
01/09/2024 22:45;22;Dimanche;0;0;0;Automne;Sud;1;0.0;0.0;0.0;0.0;0.0;32.2;35;11.0;Leger;coupure
02/09/2024 00:00;0;Lundi;0;0;0;Automne;Sud;2;43.0;232.0;0.185;0.88;0.0;26.0;79;7.6;Normal;normal
02/09/2024 00:00;0;Lundi;0;0;0;Automne;Centre;3;218.1;232.2;0.939;0.94;0.0;18.7;54;3.7;Leger;surconsommation
02/09/2024 03:15;3;Lundi;0;0;0;Automne;Sud;4;331.3;233.4;1.419;0.92;0.635;25.6;75;13.6;Leger;surconsommation
02/09/2024 04:30;4;Lundi;0;0;0;Automne;Centre;4;825.4;228.6;3.611;0.96;1.872;18.0;48;0.8;Modere;surconsommation
02/09/2024 07:00;7;Lundi;0;0;0;Automne;Centre;4;261.9;230.1;1.138;0.9;0.908;24.4;54;9.0;Normal;normal
02/09/2024 08:15;8;Lundi;0;0;1;Automne;Nord;2;788.0;231.4;3.405;0.91;4.294;24.7;63;14.6;Leger;surconsommation
02/09/2024 09:00;9;Lundi;0;0;1;Automne;Nord;2;4284.0;225.4;19.006;0.89;22.964;27.0;53;12.7;Critique;surconsommation
02/09/2024 09:30;9;Lundi;0;0;1;Automne;Sud;3;0.0;0.0;0.0;0.0;0.0;32.6;62;9.6;Leger;coupure
02/09/2024 09:30;9;Lundi;0;0;1;Automne;Sud;2;154.5;235.0;0.657;0.89;0.876;29.7;63;9.5;Normal;normal
02/09/2024 11:30;11;Lundi;0;0;1;Automne;Sud;2;2760.7;228.3;12.092;0.96;19.543;29.4;60;12.9;Eleve;surconsommation
02/09/2024 12:30;12;Lundi;0;0;1;Automne;Sud;1;23.7;227.1;0.104;0.93;0.206;33.5;47;1.7;Normal;normal
02/09/2024 13:45;13;Lundi;0;0;1;Automne;Centre;3;1703.1;228.8;7.444;0.95;11.429;31.1;70;0.6;Modere;surconsommation
02/09/2024 16:45;16;Lundi;0;0;1;Automne;Centre;2;896.8;230.3;3.894;0.9;8.662;27.4;52;1.5;Modere;surconsommation
02/09/2024 17:45;17;Lundi;0;0;1;Automne;Nord;4;0.0;0.0;0.0;0.0;0.0;32.8;67;8.4;Leger;coupure
02/09/2024 19:15;19;Lundi;0;0;0;Automne;Centre;2;684.4;226.7;3.019;0.97;7.541;25.5;50;5.4;Leger;surconsommation
02/09/2024 23:00;23;Lundi;0;0;0;Automne;Sud;4;887.7;231.1;3.841;0.95;14.275;31.6;56;5.0;Leger;surconsommation
02/09/2024 23:15;23;Lundi;0;0;0;Automne;Sud;1;54.8;221.3;0.248;0.96;0.515;31.2;32;0.2;Normal;normal
03/09/2024 00:00;0;Mardi;0;0;0;Automne;Nord;2;158.3;235.1;0.673;0.86;0.0;18.9;27;14.3;Normal;normal
03/09/2024 01:30;1;Mardi;0;0;0;Automne;Centre;1;52.9;226.1;0.234;0.86;0.037;17.4;57;4.4;Normal;normal
03/09/2024 01:45;1;Mardi;0;0;0;Automne;Nord;4;87.7;223.3;0.393;0.95;0.1;22.8;47;0.9;Normal;normal
03/09/2024 03:30;3;Mardi;0;0;0;Automne;Sud;3;0.0;0.0;0.0;0.0;0.0;26.1;68;25.7;Modere;coupure
03/09/2024 05:30;5;Mardi;0;0;0;Automne;Sud;2;71.9;220.7;0.326;0.89;0.254;26.2;56;4.6;Normal;normal
03/09/2024 07:00;7;Mardi;0;0;0;Automne;Nord;2;64.1;241.3;0.266;0.95;0.2;26.8;49;7.6;Normal;normal
03/09/2024 07:45;7;Mardi;0;0;0;Automne;Nord;1;0.0;0.0;0.0;0.0;0.0;29.2;45;4.5;Leger;coupure
03/09/2024 14:30;14;Mardi;0;0;1;Automne;Nord;3;322.9;231.2;1.397;0.97;2.065;30.5;29;11.2;Normal;normal
03/09/2024 18:30;18;Mardi;0;0;0;Automne;Nord;4;982.9;233.5;4.209;0.98;12.469;26.8;42;0.9;Leger;surconsommation
03/09/2024 18:45;18;Mardi;0;0;0;Automne;Centre;1;571.7;228.1;2.506;0.95;7.025;25.5;37;24.6;Leger;surconsommation
04/09/2024 02:45;2;Mercredi;0;0;0;Automne;Nord;4;143.3;235.7;0.608;0.93;0.258;19.1;34;18.9;Normal;normal
04/09/2024 07:30;7;Mercredi;0;0;0;Automne;Nord;2;308.5;231.1;1.335;0.86;1.318;21.7;69;14.9;Normal;normal
04/09/2024 07:30;7;Mercredi;0;0;0;Automne;Sud;3;1524.7;223.0;6.837;0.97;6.589;33.4;53;11.3;Modere;surconsommation
04/09/2024 09:30;9;Mercredi;0;0;1;Automne;Centre;2;1121.0;229.0;4.895;0.94;4.271;24.3;50;0.7;Modere;surconsommation
04/09/2024 10:30;10;Mercredi;0;0;1;Automne;Nord;2;0.0;0.0;0.0;0.0;0.0;25.8;45;4.8;Leger;coupure
04/09/2024 16:30;16;Mercredi;0;0;1;Automne;Sud;3;835.2;230.5;3.623;0.93;7.211;30.7;50;0.2;Leger;surconsommation
04/09/2024 17:00;17;Mercredi;0;0;1;Automne;Nord;2;247.6;222.2;1.114;0.88;2.042;30.7;66;7.1;Normal;normal
04/09/2024 17:30;17;Mercredi;0;0;1;Automne;Nord;2;194.9;229.5;0.849;0.95;1.603;31.7;73;1.9;Normal;normal
04/09/2024 17:45;17;Mercredi;0;0;1;Automne;Nord;4;1900.5;229.5;8.281;0.91;16.191;30.6;48;8.5;Modere;surconsommation
04/09/2024 18:45;18;Mercredi;0;0;0;Automne;Sud;2;439.1;227.9;1.927;0.87;4.612;30.5;69;5.3;Normal;normal
04/09/2024 19:45;19;Mercredi;0;0;0;Automne;Centre;2;163.1;227.0;0.719;0.96;2.245;24.0;53;1.5;Normal;normal
04/09/2024 20:30;20;Mercredi;0;0;0;Automne;Sud;2;1893.5;222.5;8.51;0.88;25.053;29.3;80;6.5;Modere;surconsommation
04/09/2024 22:00;22;Mercredi;0;0;0;Automne;Nord;1;1650.0;234.3;7.042;0.87;23.136;28.7;43;4.4;Eleve;surconsommation
04/09/2024 22:45;22;Mercredi;0;0;0;Automne;Sud;2;408.0;220.7;1.849;0.85;6.035;29.5;62;6.7;Normal;normal
05/09/2024 00:45;0;Jeudi;0;0;0;Automne;Centre;4;199.0;236.2;0.843;0.91;0.076;23.1;46;3.7;Normal;normal
05/09/2024 01:45;1;Jeudi;0;0;0;Automne;Nord;2;514.3;234.3;2.195;0.91;0.374;23.5;64;9.6;Modere;surconsommation
05/09/2024 03:45;3;Jeudi;0;0;0;Automne;Centre;4;108.7;224.1;0.485;0.92;0.191;19.4;80;13.2;Normal;normal
05/09/2024 05:00;5;Jeudi;0;0;0;Automne;Nord;2;214.9;224.4;0.958;0.92;0.705;22.4;62;17.2;Leger;surconsommation
